case_id,confidence_score,constraint_count,forbidden_classified_supports,forbidden_region_violation_count,framing_zones,gravity_plausibility_max,lateral_candidate_count,phase2_ok,span_count,span_regularity,structural_design_graph_completeness_proxy,support_candidate_precision_at_k,vertical_alignment_groups,vertical_alignment_high_quality_groups,warning_count
hp_office_struct,0.9448,78,0,0,8,1.0,2,True,15,0.9792,0.5,1.0,24,24,0
hp_duplex_struct,0.9,40,0,0,2,1.0,2,True,6,1.0,0.5,1.0,12,12,0
hp_clinic_struct,0.9412,75,0,0,3,1.0,2,True,12,0.9648,0.5,1.0,21,21,0
hp_barracks_struct,0.8009,31,0,0,2,0.0,2,True,4,0.9028,0.5,1.0,9,9,0
ifc_office_s,0.3366,145,0,0,4,0.0,2,True,91,0.0,0.5,1.0,94,90,0
ifc_office_a,0.4595,417,0,0,3,0.238,2,True,2975,0.0,0.5,1.0,603,264,0
ifc_clinic_arch,0.4595,334,0,0,4,0.238,2,True,7050,0.0,0.5,1.0,805,202,0
dxf_synthetic_baseline,0.4625,4,0,0,1,0.0,2,True,12,1.0,0.5,1.0,0,0,0
raster_office_clean,0.4161,4,0,0,3,0.0,2,True,1,0.8144,0.5,1.0,0,0,0
raster_office_blur,0.3262,4,0,0,3,0.0,2,True,4,0.4049,0.5,1.0,0,0,0
raster_office_skew,0.2136,4,0,0,1,0.0043,3,True,42,0.0,0.5,1.0,0,0,0
raster_office_crop,0.675,4,0,0,2,1.0,2,True,1,1.0,0.5,1.0,0,0,0
raster_compressed_scan,0.4161,4,0,0,3,0.0,2,True,1,0.8144,0.5,1.0,0,0,0
raster_low_resolution,0.2953,4,0,0,3,0.0,2,True,6,0.2814,0.5,1.0,0,0,0
raster_missing_dimension_labels,0.4161,4,0,0,3,0.0,2,True,1,0.8144,0.5,1.0,0,0,0
raster_ambiguous_unit_labels,0.4161,4,0,0,3,0.0,2,True,1,0.8144,0.5,1.0,0,0,0
raster_no_grid_labels,0.4161,4,0,0,3,0.0,2,True,1,0.8144,0.5,1.0,0,0,0
adv_open_lobby_struct,0.8216,74,0,0,6,1.0,1,True,12,0.8865,0.5,1.0,20,20,0
adv_atrium_struct,0.5667,24,64,0,4,0.0,1,True,9,1.0,0.5,0.0,16,16,0
adv_broken_stack_struct,0.935,74,0,0,5,1.0,2,True,12,0.9399,0.5,1.0,20,20,0
adv_irregular_struct,0.7887,89,0,0,3,0.8063,2,True,24,0.5486,0.5,1.0,35,35,0
cross_duplex_ifc_pdf,,,,,,,,False,,,,,,,
cross_clinic_pdf,,,,,,,,False,,,,,,,
cross_office_pdf,,,,,,,,False,,,,,,,
